topic,variable,discipline,location,value
electronics_transistors,count_total,Engineering and Technology,Wales,97.0
energy_environmental,count_total,Engineering and Technology,Wales,239.0
energy_transport_technology,count_total,Engineering and Technology,Wales,116.0
environment,count_total,Social Sciences,Wales,21.0
environmental_policy,count_total,Environmental Sciences,Wales,249.0
epidemiology_immunology,count_total,Life Sciences,Wales,35.0
evidence_for_policy,count_total,Social Sciences,Wales,132.0
experiments,count_total,Medical Science,Wales,9.0
gender_sexuality,count_total,Social Sciences,Wales,12.0
genetics,count_total,Medical Science,Wales,11.0
geology,count_total,Environmental Sciences,Wales,90.0
health_interventions_policy,count_total,Medical Science,Wales,164.0
health_social_issues,count_total,Arts and Humanities,Wales,25.0
hidrology,count_total,Environmental Sciences,Wales,42.0
imaging,count_total,Life Sciences,Wales,18.0
industrial_application,count_total,Life Sciences,Wales,94.0
ionisation_plasma,count_total,Engineering and Technology,Wales,42.0
law,count_total,Social Sciences,Wales,55.0
linguistics,count_total,Arts and Humanities,Wales,44.0
literature,count_total,Arts and Humanities,Wales,21.0
management,count_total,Social Sciences,Wales,76.0
materials,count_total,Engineering and Technology,Wales,82.0
mathematics,count_total,Mathematics and Computing,Wales,98.0
media_performance,count_total,Arts and Humanities,Wales,53.0
medieval_modern_history,count_total,Arts and Humanities,Wales,107.0
migration_colonial_history,count_total,Arts and Humanities,Wales,13.0
military_history,count_total,Arts and Humanities,Wales,36.0
minerals_fuels,count_total,Environmental Sciences,Wales,23.0
modelling_&_sensors,count_total,Environmental Sciences,Wales,49.0
modelling_measurement,count_total,Mathematics and Computing,Wales,107.0
networks,count_total,Mathematics and Computing,Wales,49.0
neurology,count_total,Medical Science,Wales,37.0
neuroscience,count_total,Life Sciences,Wales,72.0
nutrition_health,count_total,Life Sciences,Wales,21.0
obesity_metabolism,count_total,Medical Science,Wales,18.0
particle_physics,count_total,Physics,Wales,32.0
philosophy,count_total,Arts and Humanities,Wales,19.0
photonics_imaging_quantum,count_total,Engineering and Technology,Wales,201.0
political_history,count_total,Arts and Humanities,Wales,17.0
prosthetics_robotics_health,count_total,Engineering and Technology,Wales,135.0
psychiatry_mental_health,count_total,Medical Science,Wales,138.0
psychology,count_total,Social Sciences,Wales,135.0
public_engagement_infrastructure,count_total,Physics,Wales,78.0
reproduction_fertility,count_total,Medical Science,Wales,17.0
respiratory_system,count_total,Medical Science,Wales,20.0
robotics_cybernetics,count_total,Mathematics and Computing,Wales,17.0
security,count_total,Engineering and Technology,Wales,21.0
sensors_data_telescopy,count_total,Physics,Wales,33.0
social_care,count_total,Social Sciences,Wales,75.0
social_history,count_total,Arts and Humanities,Wales,194.0
social_history_identity,count_total,Arts and Humanities,Wales,11.0
sociology,count_total,Social Sciences,Wales,57.0
statistics_data_analysis,count_total,Mathematics and Computing,Wales,33.0
surgert_cardiology,count_total,Medical Science,Wales,36.0
systems_infrastructure,count_total,Engineering and Technology,Wales,472.0
theoretical_physics,count_total,Physics,Wales,39.0
transport_communications,count_total,Mathematics and Computing,Wales,108.0
visual,count_total,Arts and Humanities,Wales,214.0
ageing,funding_lq,Medical Science,Wales,0.25146762464710914
agriculture_plant_biology_entomology,funding_lq,Life Sciences,Wales,0.6164033671375934
applications_devices_users,funding_lq,Mathematics and Computing,Wales,0.9623305268238364
archaeology,funding_lq,Arts and Humanities,Wales,1.027729754351957
architecture_spatial,funding_lq,Arts and Humanities,Wales,0.6152863264936016
astronomy,funding_lq,Physics,Wales,1.1129063690681416
astrophysics,funding_lq,Physics,Wales,1.033482975265963
bio_informatics,funding_lq,Life Sciences,Wales,0.37747497300170346
biopharmaceuticals,funding_lq,Life Sciences,Wales,0.21651849206354054
bones_muscles,funding_lq,Life Sciences,Wales,0.4835922882648955
carbon_greenhouse_pollution,funding_lq,Environmental Sciences,Wales,0.8275322579173514
cells_cancer,funding_lq,Medical Science,Wales,0.7724464602615794
cellular_biology_cancer,funding_lq,Life Sciences,Wales,0.3931246775075354
chemistry_biochemistry,funding_lq,Engineering and Technology,Wales,1.049157041181725
classic_religious_history,funding_lq,Arts and Humanities,Wales,0.8846472751786301
climate_science,funding_lq,Environmental Sciences,Wales,0.7447048341418816
cognition_&_audio,funding_lq,Mathematics and Computing,Wales,0.3339200300632718
computer_science,funding_lq,Mathematics and Computing,Wales,0.3486285590845857
computer_vision,funding_lq,Mathematics and Computing,Wales,0.6828469137803611
cosmology,funding_lq,Physics,Wales,1.6796485420031793
criminology_violence,funding_lq,Social Sciences,Wales,0.7707542885198626
cyber_security,funding_lq,Mathematics and Computing,Wales,0.3746484058919141
data_methods,funding_lq,Medical Science,Wales,0.4518535744816743
design_&_heritage,funding_lq,Arts and Humanities,Wales,1.374966476549207
development_studies,funding_lq,Social Sciences,Wales,0.8934468031705447
disease_infection_health,funding_lq,Medical Science,Wales,0.3401323626209444
drug_tests,funding_lq,Medical Science,Wales,1.169181561996138
economics,funding_lq,Social Sciences,Wales,1.480691368202655
ecosystems,funding_lq,Environmental Sciences,Wales,0.6738449563393089
education,funding_lq,Social Sciences,Wales,1.6436373354272058
electronics_transistors,funding_lq,Engineering and Technology,Wales,0.9912783036755772
energy_environmental,funding_lq,Engineering and Technology,Wales,1.3385866824126893
energy_transport_technology,funding_lq,Engineering and Technology,Wales,0.8882839675597545
environment,funding_lq,Social Sciences,Wales,1.2044450297622518
environmental_policy,funding_lq,Environmental Sciences,Wales,1.1279887652893998
epidemiology_immunology,funding_lq,Life Sciences,Wales,0.3997577932336484
evidence_for_policy,funding_lq,Social Sciences,Wales,1.5887663450801566
experiments,funding_lq,Medical Science,Wales,0.8233294238567637
gender_sexuality,funding_lq,Social Sciences,Wales,0.4848475331080122
genetics,funding_lq,Medical Science,Wales,0.4066217920757991
geology,funding_lq,Environmental Sciences,Wales,1.0516387158659215
health_interventions_policy,funding_lq,Medical Science,Wales,1.5425036983106566
health_social_issues,funding_lq,Arts and Humanities,Wales,0.4878312540638479
hidrology,funding_lq,Environmental Sciences,Wales,1.6253270994354492
imaging,funding_lq,Life Sciences,Wales,0.8211037097432817
industrial_application,funding_lq,Life Sciences,Wales,0.8838722911661351
ionisation_plasma,funding_lq,Engineering and Technology,Wales,0.7277386982142343
law,funding_lq,Social Sciences,Wales,0.6535531629427412
linguistics,funding_lq,Arts and Humanities,Wales,1.6282581755511745
literature,funding_lq,Arts and Humanities,Wales,1.023299270095548
management,funding_lq,Social Sciences,Wales,1.6885306654084589
materials,funding_lq,Engineering and Technology,Wales,1.005217945064664
mathematics,funding_lq,Mathematics and Computing,Wales,0.6042779424836425
media_performance,funding_lq,Arts and Humanities,Wales,0.6587047315111613
medieval_modern_history,funding_lq,Arts and Humanities,Wales,0.963834897885788
migration_colonial_history,funding_lq,Arts and Humanities,Wales,0.6240769227671704
military_history,funding_lq,Arts and Humanities,Wales,0.33439183987059234
minerals_fuels,funding_lq,Environmental Sciences,Wales,1.3414772076988677
modelling_&_sensors,funding_lq,Environmental Sciences,Wales,0.6617689233570064
modelling_measurement,funding_lq,Mathematics and Computing,Wales,0.6393286054216964
networks,funding_lq,Mathematics and Computing,Wales,0.7171053183777917
neurology,funding_lq,Medical Science,Wales,0.7943304023690956
neuroscience,funding_lq,Life Sciences,Wales,0.6059091645197047
nutrition_health,funding_lq,Life Sciences,Wales,0.4889642001034412
obesity_metabolism,funding_lq,Medical Science,Wales,0.7854278864205017
particle_physics,funding_lq,Physics,Wales,0.41512785516374223
philosophy,funding_lq,Arts and Humanities,Wales,0.6213171118292039
photonics_imaging_quantum,funding_lq,Engineering and Technology,Wales,1.2303319850801884
political_history,funding_lq,Arts and Humanities,Wales,0.7954693951317335
prosthetics_robotics_health,funding_lq,Engineering and Technology,Wales,0.9498244568577829
psychiatry_mental_health,funding_lq,Medical Science,Wales,1.760018920159544
psychology,funding_lq,Social Sciences,Wales,1.1029339991520974
public_engagement_infrastructure,funding_lq,Physics,Wales,1.0383678864702328
reproduction_fertility,funding_lq,Medical Science,Wales,0.7623186527281732
respiratory_system,funding_lq,Medical Science,Wales,0.8833767602299512
robotics_cybernetics,funding_lq,Mathematics and Computing,Wales,0.7802675840543029
security,funding_lq,Engineering and Technology,Wales,1.5411802027660872
sensors_data_telescopy,funding_lq,Physics,Wales,1.8908771792645127
social_care,funding_lq,Social Sciences,Wales,1.4638019310771881
social_history,funding_lq,Arts and Humanities,Wales,1.1996770796703502
social_history_identity,funding_lq,Arts and Humanities,Wales,0.5077227738267371
sociology,funding_lq,Social Sciences,Wales,0.9053976326554464
statistics_data_analysis,funding_lq,Mathematics and Computing,Wales,0.3900112126376163
surgert_cardiology,funding_lq,Medical Science,Wales,0.7137666457942832
systems_infrastructure,funding_lq,Engineering and Technology,Wales,1.22178721671859
theoretical_physics,funding_lq,Physics,Wales,1.1163199844365672
transport_communications,funding_lq,Mathematics and Computing,Wales,1.0701205939507723
visual,funding_lq,Arts and Humanities,Wales,1.0059515955222402
ageing,funding_total,Medical Science,Wales,1347493.0
agriculture_plant_biology_entomology,funding_total,Life Sciences,Wales,40447738.0
applications_devices_users,funding_total,Mathematics and Computing,Wales,93631599.0
archaeology,funding_total,Arts and Humanities,Wales,4671793.0
architecture_spatial,funding_total,Arts and Humanities,Wales,1056187.0
astronomy,funding_total,Physics,Wales,25949870.0
astrophysics,funding_total,Physics,Wales,28874547.0
bio_informatics,funding_total,Life Sciences,Wales,17478697.0
biopharmaceuticals,funding_total,Life Sciences,Wales,2499784.0
bones_muscles,funding_total,Life Sciences,Wales,3001256.0
carbon_greenhouse_pollution,funding_total,Environmental Sciences,Wales,21508699.0
cells_cancer,funding_total,Medical Science,Wales,122883465.0
cellular_biology_cancer,funding_total,Life Sciences,Wales,43579028.0
chemistry_biochemistry,funding_total,Engineering and Technology,Wales,105266219.0
classic_religious_history,funding_total,Arts and Humanities,Wales,2572116.0
climate_science,funding_total,Environmental Sciences,Wales,41811752.0
cognition_&_audio,funding_total,Mathematics and Computing,Wales,2433372.0
computer_science,funding_total,Mathematics and Computing,Wales,16474239.0
computer_vision,funding_total,Mathematics and Computing,Wales,8536959.0
cosmology,funding_total,Physics,Wales,56166793.0
criminology_violence,funding_total,Social Sciences,Wales,3100213.0
cyber_security,funding_total,Mathematics and Computing,Wales,5645623.0
data_methods,funding_total,Medical Science,Wales,10348609.0
design_&_heritage,funding_total,Arts and Humanities,Wales,133014016.0
development_studies,funding_total,Social Sciences,Wales,9476588.0
disease_infection_health,funding_total,Medical Science,Wales,20671641.0
drug_tests,funding_total,Medical Science,Wales,138082263.0
economics,funding_total,Social Sciences,Wales,51200422.0
ecosystems,funding_total,Environmental Sciences,Wales,54852033.0
education,funding_total,Social Sciences,Wales,67835407.0
electronics_transistors,funding_total,Engineering and Technology,Wales,87722757.0
energy_environmental,funding_total,Engineering and Technology,Wales,200854804.0
energy_transport_technology,funding_total,Engineering and Technology,Wales,64934813.0
environment,funding_total,Social Sciences,Wales,9988589.0
environmental_policy,funding_total,Environmental Sciences,Wales,113556558.0
epidemiology_immunology,funding_total,Life Sciences,Wales,17834579.0
evidence_for_policy,funding_total,Social Sciences,Wales,108333362.0
experiments,funding_total,Medical Science,Wales,6432252.0
gender_sexuality,funding_total,Social Sciences,Wales,1031231.0
genetics,funding_total,Medical Science,Wales,7004828.0
geology,funding_total,Environmental Sciences,Wales,21755989.0
health_interventions_policy,funding_total,Medical Science,Wales,218980826.0
health_social_issues,funding_total,Arts and Humanities,Wales,5706902.0
hidrology,funding_total,Environmental Sciences,Wales,14985927.0
imaging,funding_total,Life Sciences,Wales,9513223.0
industrial_application,funding_total,Life Sciences,Wales,74635133.0
ionisation_plasma,funding_total,Engineering and Technology,Wales,31546050.0
law,funding_total,Social Sciences,Wales,10144868.0
linguistics,funding_total,Arts and Humanities,Wales,10530762.0
literature,funding_total,Arts and Humanities,Wales,2100354.0
management,funding_total,Social Sciences,Wales,40201417.0
materials,funding_total,Engineering and Technology,Wales,55719958.0
mathematics,funding_total,Mathematics and Computing,Wales,35772846.0
media_performance,funding_total,Arts and Humanities,Wales,6326440.0
medieval_modern_history,funding_total,Arts and Humanities,Wales,17771944.0
migration_colonial_history,funding_total,Arts and Humanities,Wales,1383276.0
military_history,funding_total,Arts and Humanities,Wales,2065757.0
minerals_fuels,funding_total,Environmental Sciences,Wales,6956869.0
modelling_&_sensors,funding_total,Environmental Sciences,Wales,13678536.0
modelling_measurement,funding_total,Mathematics and Computing,Wales,44387542.0
networks,funding_total,Mathematics and Computing,Wales,29590848.0
neurology,funding_total,Medical Science,Wales,38116955.0
neuroscience,funding_total,Life Sciences,Wales,31894589.0
nutrition_health,funding_total,Life Sciences,Wales,7701951.0
obesity_metabolism,funding_total,Medical Science,Wales,18464288.0
particle_physics,funding_total,Physics,Wales,15909198.0
philosophy,funding_total,Arts and Humanities,Wales,3072424.0
photonics_imaging_quantum,funding_total,Engineering and Technology,Wales,181002964.0
political_history,funding_total,Arts and Humanities,Wales,2959697.0
prosthetics_robotics_health,funding_total,Engineering and Technology,Wales,96508289.0
psychiatry_mental_health,funding_total,Medical Science,Wales,156966780.0
psychology,funding_total,Social Sciences,Wales,47472530.0
public_engagement_infrastructure,funding_total,Physics,Wales,47848968.0
reproduction_fertility,funding_total,Medical Science,Wales,17304072.0
respiratory_system,funding_total,Medical Science,Wales,18765787.0
robotics_cybernetics,funding_total,Mathematics and Computing,Wales,8385811.0
security,funding_total,Engineering and Technology,Wales,17818943.0
sensors_data_telescopy,funding_total,Physics,Wales,36482300.0
social_care,funding_total,Social Sciences,Wales,45755078.0
social_history,funding_total,Arts and Humanities,Wales,78667857.0
social_history_identity,funding_total,Arts and Humanities,Wales,590585.0
sociology,funding_total,Social Sciences,Wales,17539063.0
statistics_data_analysis,funding_total,Mathematics and Computing,Wales,9126088.0
surgert_cardiology,funding_total,Medical Science,Wales,32102519.0
systems_infrastructure,funding_total,Engineering and Technology,Wales,499144913.0
theoretical_physics,funding_total,Physics,Wales,32337233.0
transport_communications,funding_total,Mathematics and Computing,Wales,67356405.0
visual,funding_total,Arts and Humanities,Wales,98897335.0
ageing,count_lq,Medical Science,Isle of Anglesey,0.0
agriculture_plant_biology_entomology,count_lq,Life Sciences,Isle of Anglesey,4.723666395884106
applications_devices_users,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
archaeology,count_lq,Arts and Humanities,Isle of Anglesey,0.0
architecture_spatial,count_lq,Arts and Humanities,Isle of Anglesey,0.0
astronomy,count_lq,Physics,Isle of Anglesey,0.0
astrophysics,count_lq,Physics,Isle of Anglesey,0.0
bio_informatics,count_lq,Life Sciences,Isle of Anglesey,0.0
biopharmaceuticals,count_lq,Life Sciences,Isle of Anglesey,0.0
bones_muscles,count_lq,Life Sciences,Isle of Anglesey,0.0
carbon_greenhouse_pollution,count_lq,Environmental Sciences,Isle of Anglesey,0.0
cells_cancer,count_lq,Medical Science,Isle of Anglesey,0.0
cellular_biology_cancer,count_lq,Life Sciences,Isle of Anglesey,0.0
chemistry_biochemistry,count_lq,Engineering and Technology,Isle of Anglesey,0.0
classic_religious_history,count_lq,Arts and Humanities,Isle of Anglesey,0.0
climate_science,count_lq,Environmental Sciences,Isle of Anglesey,0.0
cognition_&_audio,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
computer_science,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
computer_vision,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
cosmology,count_lq,Physics,Isle of Anglesey,0.0
criminology_violence,count_lq,Social Sciences,Isle of Anglesey,0.0
cyber_security,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
data_methods,count_lq,Medical Science,Isle of Anglesey,0.0
design_&_heritage,count_lq,Arts and Humanities,Isle of Anglesey,0.0
development_studies,count_lq,Social Sciences,Isle of Anglesey,0.0
disease_infection_health,count_lq,Medical Science,Isle of Anglesey,0.0
drug_tests,count_lq,Medical Science,Isle of Anglesey,0.0
economics,count_lq,Social Sciences,Isle of Anglesey,0.0
ecosystems,count_lq,Environmental Sciences,Isle of Anglesey,0.0
education,count_lq,Social Sciences,Isle of Anglesey,0.0
electronics_transistors,count_lq,Engineering and Technology,Isle of Anglesey,0.0
energy_environmental,count_lq,Engineering and Technology,Isle of Anglesey,0.0
energy_transport_technology,count_lq,Engineering and Technology,Isle of Anglesey,0.0
environment,count_lq,Social Sciences,Isle of Anglesey,0.0
environmental_policy,count_lq,Environmental Sciences,Isle of Anglesey,0.0
epidemiology_immunology,count_lq,Life Sciences,Isle of Anglesey,7.429514480408857
evidence_for_policy,count_lq,Social Sciences,Isle of Anglesey,0.0
experiments,count_lq,Medical Science,Isle of Anglesey,0.0
gender_sexuality,count_lq,Social Sciences,Isle of Anglesey,0.0
genetics,count_lq,Medical Science,Isle of Anglesey,0.0
geology,count_lq,Environmental Sciences,Isle of Anglesey,0.0
health_interventions_policy,count_lq,Medical Science,Isle of Anglesey,0.0
health_social_issues,count_lq,Arts and Humanities,Isle of Anglesey,0.0
hidrology,count_lq,Environmental Sciences,Isle of Anglesey,0.0
imaging,count_lq,Life Sciences,Isle of Anglesey,0.0
industrial_application,count_lq,Life Sciences,Isle of Anglesey,9.651175656984783
ionisation_plasma,count_lq,Engineering and Technology,Isle of Anglesey,0.0
law,count_lq,Social Sciences,Isle of Anglesey,0.0
linguistics,count_lq,Arts and Humanities,Isle of Anglesey,0.0
literature,count_lq,Arts and Humanities,Isle of Anglesey,0.0
management,count_lq,Social Sciences,Isle of Anglesey,0.0
materials,count_lq,Engineering and Technology,Isle of Anglesey,0.0
mathematics,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
media_performance,count_lq,Arts and Humanities,Isle of Anglesey,0.0
medieval_modern_history,count_lq,Arts and Humanities,Isle of Anglesey,0.0
migration_colonial_history,count_lq,Arts and Humanities,Isle of Anglesey,0.0
military_history,count_lq,Arts and Humanities,Isle of Anglesey,0.0
minerals_fuels,count_lq,Environmental Sciences,Isle of Anglesey,0.0
modelling_&_sensors,count_lq,Environmental Sciences,Isle of Anglesey,0.0
modelling_measurement,count_lq,Mathematics and Computing,Isle of Anglesey,4.178323353293413
networks,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
neurology,count_lq,Medical Science,Isle of Anglesey,0.0
neuroscience,count_lq,Life Sciences,Isle of Anglesey,0.0
nutrition_health,count_lq,Life Sciences,Isle of Anglesey,36.07962771458118
obesity_metabolism,count_lq,Medical Science,Isle of Anglesey,0.0
particle_physics,count_lq,Physics,Isle of Anglesey,0.0
philosophy,count_lq,Arts and Humanities,Isle of Anglesey,0.0
photonics_imaging_quantum,count_lq,Engineering and Technology,Isle of Anglesey,2.9447164078325456
political_history,count_lq,Arts and Humanities,Isle of Anglesey,0.0
prosthetics_robotics_health,count_lq,Engineering and Technology,Isle of Anglesey,3.5227180936995155
psychiatry_mental_health,count_lq,Medical Science,Isle of Anglesey,0.0
psychology,count_lq,Social Sciences,Isle of Anglesey,0.0
public_engagement_infrastructure,count_lq,Physics,Isle of Anglesey,0.0
reproduction_fertility,count_lq,Medical Science,Isle of Anglesey,0.0
respiratory_system,count_lq,Medical Science,Isle of Anglesey,0.0
robotics_cybernetics,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
security,count_lq,Engineering and Technology,Isle of Anglesey,0.0
sensors_data_telescopy,count_lq,Physics,Isle of Anglesey,0.0
social_care,count_lq,Social Sciences,Isle of Anglesey,0.0
social_history,count_lq,Arts and Humanities,Isle of Anglesey,3.066895218002813
social_history_identity,count_lq,Arts and Humanities,Isle of Anglesey,0.0
sociology,count_lq,Social Sciences,Isle of Anglesey,0.0
statistics_data_analysis,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
surgert_cardiology,count_lq,Medical Science,Isle of Anglesey,0.0
systems_infrastructure,count_lq,Engineering and Technology,Isle of Anglesey,1.987977207977208
theoretical_physics,count_lq,Physics,Isle of Anglesey,0.0
transport_communications,count_lq,Mathematics and Computing,Isle of Anglesey,0.0
visual,count_lq,Arts and Humanities,Isle of Anglesey,0.0
ageing,count_total,Medical Science,Isle of Anglesey,0.0
agriculture_plant_biology_entomology,count_total,Life Sciences,Isle of Anglesey,1.0
applications_devices_users,count_total,Mathematics and Computing,Isle of Anglesey,0.0
archaeology,count_total,Arts and Humanities,Isle of Anglesey,0.0
architecture_spatial,count_total,Arts and Humanities,Isle of Anglesey,0.0
astronomy,count_total,Physics,Isle of Anglesey,0.0
astrophysics,count_total,Physics,Isle of Anglesey,0.0
bio_informatics,count_total,Life Sciences,Isle of Anglesey,0.0
