,research_topic,metric,discipline,year,location,value
44,imaging,count_total,Life Sciences,2007_2008,Wales,1.0
45,industrial_application,count_total,Life Sciences,2007_2008,Wales,2.0
46,ionisation_plasma,count_total,Engineering and Technology,2007_2008,Wales,3.0
47,law,count_total,Social Sciences,2007_2008,Wales,1.0
48,linguistics,count_total,Arts and Humanities,2007_2008,Wales,1.0
49,literature,count_total,Arts and Humanities,2007_2008,Wales,0.0
50,management,count_total,Social Sciences,2007_2008,Wales,6.0
51,materials,count_total,Engineering and Technology,2007_2008,Wales,4.0
52,mathematics,count_total,Mathematics and Computing,2007_2008,Wales,6.0
53,media_performance,count_total,Arts and Humanities,2007_2008,Wales,3.0
54,medieval_modern_history,count_total,Arts and Humanities,2007_2008,Wales,13.0
55,migration_colonial_history,count_total,Arts and Humanities,2007_2008,Wales,1.0
56,military_history,count_total,Arts and Humanities,2007_2008,Wales,2.0
57,minerals_fuels,count_total,Environmental Sciences,2007_2008,Wales,0.0
58,modelling_&_sensors,count_total,Environmental Sciences,2007_2008,Wales,4.0
59,modelling_measurement,count_total,Mathematics and Computing,2007_2008,Wales,3.0
60,networks,count_total,Mathematics and Computing,2007_2008,Wales,1.0
61,neurology,count_total,Medical Science,2007_2008,Wales,1.0
62,neuroscience,count_total,Life Sciences,2007_2008,Wales,6.0
63,nutrition_health,count_total,Life Sciences,2007_2008,Wales,0.0
64,obesity_metabolism,count_total,Medical Science,2007_2008,Wales,0.0
65,particle_physics,count_total,Physics,2007_2008,Wales,0.0
66,philosophy,count_total,Arts and Humanities,2007_2008,Wales,0.0
67,photonics_imaging_quantum,count_total,Engineering and Technology,2007_2008,Wales,10.0
68,political_history,count_total,Arts and Humanities,2007_2008,Wales,0.0
69,prosthetics_robotics_health,count_total,Engineering and Technology,2007_2008,Wales,6.0
70,psychiatry_mental_health,count_total,Medical Science,2007_2008,Wales,2.0
71,psychology,count_total,Social Sciences,2007_2008,Wales,18.0
72,public_engagement_infrastructure,count_total,Physics,2007_2008,Wales,2.0
73,reproduction_fertility,count_total,Medical Science,2007_2008,Wales,1.0
74,respiratory_system,count_total,Medical Science,2007_2008,Wales,0.0
75,robotics_cybernetics,count_total,Mathematics and Computing,2007_2008,Wales,1.0
76,security,count_total,Engineering and Technology,2007_2008,Wales,0.0
77,sensors_data_telescopy,count_total,Physics,2007_2008,Wales,1.0
78,social_care,count_total,Social Sciences,2007_2008,Wales,2.0
79,social_history,count_total,Arts and Humanities,2007_2008,Wales,9.0
80,social_history_identity,count_total,Arts and Humanities,2007_2008,Wales,0.0
81,sociology,count_total,Social Sciences,2007_2008,Wales,7.0
82,statistics_data_analysis,count_total,Mathematics and Computing,2007_2008,Wales,0.0
83,surgert_cardiology,count_total,Medical Science,2007_2008,Wales,0.0
84,systems_infrastructure,count_total,Engineering and Technology,2007_2008,Wales,20.0
85,theoretical_physics,count_total,Physics,2007_2008,Wales,3.0
86,transport_communications,count_total,Mathematics and Computing,2007_2008,Wales,1.0
87,visual,count_total,Arts and Humanities,2007_2008,Wales,0.0
88,ageing,count_lq,Medical Science,2007_2008,Wales,3.1095583342089594
89,agriculture_plant_biology_entomology,count_lq,Life Sciences,2007_2008,Wales,1.3746354133401462
90,applications_devices_users,count_lq,Mathematics and Computing,2007_2008,Wales,1.1949955581877405
91,archaeology,count_lq,Arts and Humanities,2007_2008,Wales,2.190825190010858
92,architecture_spatial,count_lq,Arts and Humanities,2007_2008,Wales,0.0
93,astronomy,count_lq,Physics,2007_2008,Wales,0.710537899462981
94,astrophysics,count_lq,Physics,2007_2008,Wales,0.5593596229814957
95,bio_informatics,count_lq,Life Sciences,2007_2008,Wales,0.830207440425167
96,biopharmaceuticals,count_lq,Life Sciences,2007_2008,Wales,0.0
97,bones_muscles,count_lq,Life Sciences,2007_2008,Wales,0.0
98,carbon_greenhouse_pollution,count_lq,Environmental Sciences,2007_2008,Wales,1.1684401013391243
99,cells_cancer,count_lq,Medical Science,2007_2008,Wales,0.6873177066700731
100,cellular_biology_cancer,count_lq,Life Sciences,2007_2008,Wales,0.39833185272924687
101,chemistry_biochemistry,count_lq,Engineering and Technology,2007_2008,Wales,0.6944502489091021
102,classic_religious_history,count_lq,Arts and Humanities,2007_2008,Wales,6.572475570032572
103,climate_science,count_lq,Environmental Sciences,2007_2008,Wales,2.400904317820118
104,cognition_&_audio,count_lq,Mathematics and Computing,2007_2008,Wales,0.0
105,computer_science,count_lq,Mathematics and Computing,2007_2008,Wales,0.5439290126923508
106,computer_vision,count_lq,Mathematics and Computing,2007_2008,Wales,3.6683584576925985
107,cosmology,count_lq,Physics,2007_2008,Wales,0.45327417724362573
108,criminology_violence,count_lq,Social Sciences,2007_2008,Wales,3.2862377850162865
109,cyber_security,count_lq,Mathematics and Computing,2007_2008,Wales,3.2862377850162865
110,data_methods,count_lq,Medical Science,2007_2008,Wales,0.0
111,design_&_heritage,count_lq,Arts and Humanities,2007_2008,Wales,1.1187192459629913
112,development_studies,count_lq,Social Sciences,2007_2008,Wales,0.0
113,disease_infection_health,count_lq,Medical Science,2007_2008,Wales,0.0
114,drug_tests,count_lq,Medical Science,2007_2008,Wales,0.6828546046787088
115,economics,count_lq,Social Sciences,2007_2008,Wales,0.5715196147854411
116,ecosystems,count_lq,Environmental Sciences,2007_2008,Wales,1.0419778342734567
117,education,count_lq,Social Sciences,2007_2008,Wales,2.0755186010629174
118,electronics_transistors,count_lq,Engineering and Technology,2007_2008,Wales,0.48987395553037805
119,energy_environmental,count_lq,Engineering and Technology,2007_2008,Wales,1.5167251315459782
120,energy_transport_technology,count_lq,Engineering and Technology,2007_2008,Wales,0.27967981149074783
121,environment,count_lq,Social Sciences,2007_2008,Wales,1.5022801302931597
122,environmental_policy,count_lq,Environmental Sciences,2007_2008,Wales,0.4653080049580583
123,epidemiology_immunology,count_lq,Life Sciences,2007_2008,Wales,0.7302750633369525
124,evidence_for_policy,count_lq,Social Sciences,2007_2008,Wales,1.4253561477179075
125,experiments,count_lq,Medical Science,2007_2008,Wales,0.0
126,gender_sexuality,count_lq,Social Sciences,2007_2008,Wales,0.0
127,genetics,count_lq,Medical Science,2007_2008,Wales,0.0
128,geology,count_lq,Environmental Sciences,2007_2008,Wales,0.6113930762820998
129,health_interventions_policy,count_lq,Medical Science,2007_2008,Wales,0.89118312814001
130,health_social_issues,count_lq,Arts and Humanities,2007_2008,Wales,8.763300760043432
131,hidrology,count_lq,Environmental Sciences,2007_2008,Wales,0.0
132,imaging,count_lq,Life Sciences,2007_2008,Wales,1.095412595005429
133,industrial_application,count_lq,Life Sciences,2007_2008,Wales,1.011150087697319
134,ionisation_plasma,count_lq,Engineering and Technology,2007_2008,Wales,2.3196972600114965
135,law,count_lq,Social Sciences,2007_2008,Wales,0.3552689497314905
136,linguistics,count_lq,Arts and Humanities,2007_2008,Wales,1.1949955581877405
137,literature,count_lq,Arts and Humanities,2007_2008,Wales,0.0
138,management,count_lq,Social Sciences,2007_2008,Wales,1.3482001169297584
139,materials,count_lq,Engineering and Technology,2007_2008,Wales,0.9144313836567058
140,mathematics,count_lq,Mathematics and Computing,2007_2008,Wales,0.6712315475777947
141,media_performance,count_lq,Arts and Humanities,2007_2008,Wales,1.5773941368078175
142,medieval_modern_history,count_lq,Arts and Humanities,2007_2008,Wales,1.1468749316835363
143,migration_colonial_history,count_lq,Arts and Humanities,2007_2008,Wales,3.7557003257328994
144,military_history,count_lq,Arts and Humanities,2007_2008,Wales,1.0515960912052118
145,minerals_fuels,count_lq,Environmental Sciences,2007_2008,Wales,0.0
146,modelling_&_sensors,count_lq,Environmental Sciences,2007_2008,Wales,2.061953120010219
147,modelling_measurement,count_lq,Mathematics and Computing,2007_2008,Wales,0.7041938110749185
148,networks,count_lq,Mathematics and Computing,2007_2008,Wales,0.2987488895469351
149,neurology,count_lq,Medical Science,2007_2008,Wales,0.5974977790938703
150,neuroscience,count_lq,Life Sciences,2007_2008,Wales,1.2929460137768995
151,nutrition_health,count_lq,Life Sciences,2007_2008,Wales,0.0
152,obesity_metabolism,count_lq,Medical Science,2007_2008,Wales,0.0
153,particle_physics,count_lq,Physics,2007_2008,Wales,0.0
154,philosophy,count_lq,Arts and Humanities,2007_2008,Wales,0.0
155,photonics_imaging_quantum,count_lq,Engineering and Technology,2007_2008,Wales,0.7384804011272555
156,political_history,count_lq,Arts and Humanities,2007_2008,Wales,0.0
157,prosthetics_robotics_health,count_lq,Engineering and Technology,2007_2008,Wales,0.9983507194986188
158,psychiatry_mental_health,count_lq,Medical Science,2007_2008,Wales,0.5365286179618427
159,psychology,count_lq,Social Sciences,2007_2008,Wales,1.6604148808503343
160,public_engagement_infrastructure,count_lq,Physics,2007_2008,Wales,0.9065483544872515
161,reproduction_fertility,count_lq,Medical Science,2007_2008,Wales,1.0515960912052118
162,respiratory_system,count_lq,Medical Science,2007_2008,Wales,0.0
163,robotics_cybernetics,count_lq,Mathematics and Computing,2007_2008,Wales,1.095412595005429
164,security,count_lq,Engineering and Technology,2007_2008,Wales,0.0
165,sensors_data_telescopy,count_lq,Physics,2007_2008,Wales,0.9065483544872515
166,social_care,count_lq,Social Sciences,2007_2008,Wales,0.5907843209018044
167,social_history,count_lq,Arts and Humanities,2007_2008,Wales,1.6095858538855283
168,social_history_identity,count_lq,Arts and Humanities,2007_2008,Wales,0.0
169,sociology,count_lq,Social Sciences,2007_2008,Wales,1.0397136494966783
170,statistics_data_analysis,count_lq,Mathematics and Computing,2007_2008,Wales,0.0
171,surgert_cardiology,count_lq,Medical Science,2007_2008,Wales,0.0
172,systems_infrastructure,count_lq,Engineering and Technology,2007_2008,Wales,1.2489264741154533
173,theoretical_physics,count_lq,Physics,2007_2008,Wales,2.1316136983889424
174,transport_communications,count_lq,Mathematics and Computing,2007_2008,Wales,1.8778501628664497
175,visual,count_lq,Arts and Humanities,2007_2008,Wales,0.0
176,ageing,funding_total,Medical Science,2007_2008,Wales,2716656.0
177,agriculture_plant_biology_entomology,funding_total,Life Sciences,2007_2008,Wales,3584735.0
178,applications_devices_users,funding_total,Mathematics and Computing,2007_2008,Wales,566085.0
179,archaeology,funding_total,Arts and Humanities,2007_2008,Wales,424932.0
180,architecture_spatial,funding_total,Arts and Humanities,2007_2008,Wales,0.0
181,astronomy,funding_total,Physics,2007_2008,Wales,582346.0
182,astrophysics,funding_total,Physics,2007_2008,Wales,2317680.0
183,bio_informatics,funding_total,Life Sciences,2007_2008,Wales,1286713.0
184,biopharmaceuticals,funding_total,Life Sciences,2007_2008,Wales,0.0
185,bones_muscles,funding_total,Life Sciences,2007_2008,Wales,0.0
186,carbon_greenhouse_pollution,funding_total,Environmental Sciences,2007_2008,Wales,781374.0
187,cells_cancer,funding_total,Medical Science,2007_2008,Wales,5411817.0
188,cellular_biology_cancer,funding_total,Life Sciences,2007_2008,Wales,2436216.0
189,chemistry_biochemistry,funding_total,Engineering and Technology,2007_2008,Wales,2928712.0
190,classic_religious_history,funding_total,Arts and Humanities,2007_2008,Wales,422890.0
191,climate_science,funding_total,Environmental Sciences,2007_2008,Wales,3677757.0
192,cognition_&_audio,funding_total,Mathematics and Computing,2007_2008,Wales,0.0
193,computer_science,funding_total,Mathematics and Computing,2007_2008,Wales,1115659.0
194,computer_vision,funding_total,Mathematics and Computing,2007_2008,Wales,1409819.0
195,cosmology,funding_total,Physics,2007_2008,Wales,3424350.0
196,criminology_violence,funding_total,Social Sciences,2007_2008,Wales,282399.0
197,cyber_security,funding_total,Mathematics and Computing,2007_2008,Wales,12026.0
198,data_methods,funding_total,Medical Science,2007_2008,Wales,0.0
199,design_&_heritage,funding_total,Arts and Humanities,2007_2008,Wales,731160.0
200,development_studies,funding_total,Social Sciences,2007_2008,Wales,0.0
201,disease_infection_health,funding_total,Medical Science,2007_2008,Wales,0.0
202,drug_tests,funding_total,Medical Science,2007_2008,Wales,1112485.0
203,economics,funding_total,Social Sciences,2007_2008,Wales,293082.0
204,ecosystems,funding_total,Environmental Sciences,2007_2008,Wales,1593742.0
205,education,funding_total,Social Sciences,2007_2008,Wales,617973.0
206,electronics_transistors,funding_total,Engineering and Technology,2007_2008,Wales,459737.0
207,energy_environmental,funding_total,Engineering and Technology,2007_2008,Wales,2060352.0
208,energy_transport_technology,funding_total,Engineering and Technology,2007_2008,Wales,836976.0
209,environment,funding_total,Social Sciences,2007_2008,Wales,247884.0
210,environmental_policy,funding_total,Environmental Sciences,2007_2008,Wales,490959.0
211,epidemiology_immunology,funding_total,Life Sciences,2007_2008,Wales,624120.0
212,evidence_for_policy,funding_total,Social Sciences,2007_2008,Wales,10853421.0
213,experiments,funding_total,Medical Science,2007_2008,Wales,0.0
214,gender_sexuality,funding_total,Social Sciences,2007_2008,Wales,0.0
215,genetics,funding_total,Medical Science,2007_2008,Wales,0.0
216,geology,funding_total,Environmental Sciences,2007_2008,Wales,480567.0
217,health_interventions_policy,funding_total,Medical Science,2007_2008,Wales,1189344.0
218,health_social_issues,funding_total,Arts and Humanities,2007_2008,Wales,76446.0
219,hidrology,funding_total,Environmental Sciences,2007_2008,Wales,0.0
220,imaging,funding_total,Life Sciences,2007_2008,Wales,75313.0
221,industrial_application,funding_total,Life Sciences,2007_2008,Wales,321567.0
222,ionisation_plasma,funding_total,Engineering and Technology,2007_2008,Wales,1300063.0
223,law,funding_total,Social Sciences,2007_2008,Wales,110574.0
224,linguistics,funding_total,Arts and Humanities,2007_2008,Wales,25195.0
225,literature,funding_total,Arts and Humanities,2007_2008,Wales,0.0
226,management,funding_total,Social Sciences,2007_2008,Wales,470641.0
227,materials,funding_total,Engineering and Technology,2007_2008,Wales,563824.0
228,mathematics,funding_total,Mathematics and Computing,2007_2008,Wales,316340.0
229,media_performance,funding_total,Arts and Humanities,2007_2008,Wales,171775.0
230,medieval_modern_history,funding_total,Arts and Humanities,2007_2008,Wales,2076631.0
231,migration_colonial_history,funding_total,Arts and Humanities,2007_2008,Wales,168715.0
232,military_history,funding_total,Arts and Humanities,2007_2008,Wales,56336.0
233,minerals_fuels,funding_total,Environmental Sciences,2007_2008,Wales,0.0
234,modelling_&_sensors,funding_total,Environmental Sciences,2007_2008,Wales,751796.0
235,modelling_measurement,funding_total,Mathematics and Computing,2007_2008,Wales,886976.0
236,networks,funding_total,Mathematics and Computing,2007_2008,Wales,179286.0
237,neurology,funding_total,Medical Science,2007_2008,Wales,530765.0
238,neuroscience,funding_total,Life Sciences,2007_2008,Wales,1712482.0
239,nutrition_health,funding_total,Life Sciences,2007_2008,Wales,0.0
240,obesity_metabolism,funding_total,Medical Science,2007_2008,Wales,0.0
241,particle_physics,funding_total,Physics,2007_2008,Wales,0.0
242,philosophy,funding_total,Arts and Humanities,2007_2008,Wales,0.0
243,photonics_imaging_quantum,funding_total,Engineering and Technology,2007_2008,Wales,2956788.0
244,political_history,funding_total,Arts and Humanities,2007_2008,Wales,0.0
245,prosthetics_robotics_health,funding_total,Engineering and Technology,2007_2008,Wales,953406.0
246,psychiatry_mental_health,funding_total,Medical Science,2007_2008,Wales,4299373.0
247,psychology,funding_total,Social Sciences,2007_2008,Wales,7695391.0
248,public_engagement_infrastructure,funding_total,Physics,2007_2008,Wales,77404.0
249,reproduction_fertility,funding_total,Medical Science,2007_2008,Wales,66507.0
250,respiratory_system,funding_total,Medical Science,2007_2008,Wales,0.0
251,robotics_cybernetics,funding_total,Mathematics and Computing,2007_2008,Wales,6245.0
252,security,funding_total,Engineering and Technology,2007_2008,Wales,0.0
253,sensors_data_telescopy,funding_total,Physics,2007_2008,Wales,2190250.0
254,social_care,funding_total,Social Sciences,2007_2008,Wales,257933.0
255,social_history,funding_total,Arts and Humanities,2007_2008,Wales,1968495.0
256,social_history_identity,funding_total,Arts and Humanities,2007_2008,Wales,0.0
257,sociology,funding_total,Social Sciences,2007_2008,Wales,1200720.0
258,statistics_data_analysis,funding_total,Mathematics and Computing,2007_2008,Wales,0.0
259,surgert_cardiology,funding_total,Medical Science,2007_2008,Wales,0.0
260,systems_infrastructure,funding_total,Engineering and Technology,2007_2008,Wales,12215859.0
261,theoretical_physics,funding_total,Physics,2007_2008,Wales,2766950.0
262,transport_communications,funding_total,Mathematics and Computing,2007_2008,Wales,100917.0
263,visual,funding_total,Arts and Humanities,2007_2008,Wales,0.0
264,ageing,funding_lq,Medical Science,2007_2008,Wales,1.7877050473449823
265,agriculture_plant_biology_entomology,funding_lq,Life Sciences,2007_2008,Wales,1.6845355895158671
266,applications_devices_users,funding_lq,Mathematics and Computing,2007_2008,Wales,0.27282860891163446
267,archaeology,funding_lq,Arts and Humanities,2007_2008,Wales,3.5029922671180107
268,architecture_spatial,funding_lq,Arts and Humanities,2007_2008,Wales,0.0
269,astronomy,funding_lq,Physics,2007_2008,Wales,0.5995195592236174
270,astrophysics,funding_lq,Physics,2007_2008,Wales,2.2692795812899575
271,bio_informatics,funding_lq,Life Sciences,2007_2008,Wales,0.5783461617271816
272,biopharmaceuticals,funding_lq,Life Sciences,2007_2008,Wales,0.0
273,bones_muscles,funding_lq,Life Sciences,2007_2008,Wales,0.0
274,carbon_greenhouse_pollution,funding_lq,Environmental Sciences,2007_2008,Wales,1.2644713847014482
275,cells_cancer,funding_lq,Medical Science,2007_2008,Wales,0.8045144056497827
276,cellular_biology_cancer,funding_lq,Life Sciences,2007_2008,Wales,0.34479926179086046
277,chemistry_biochemistry,funding_lq,Engineering and Technology,2007_2008,Wales,0.9163703598059193
278,classic_religious_history,funding_lq,Arts and Humanities,2007_2008,Wales,10.72472893835316
279,climate_science,funding_lq,Environmental Sciences,2007_2008,Wales,2.000970787882259
280,cognition_&_audio,funding_lq,Mathematics and Computing,2007_2008,Wales,0.0
281,computer_science,funding_lq,Mathematics and Computing,2007_2008,Wales,0.7998208437897767
282,computer_vision,funding_lq,Mathematics and Computing,2007_2008,Wales,3.6826549329671865
283,cosmology,funding_lq,Physics,2007_2008,Wales,2.0316487331519335
284,criminology_violence,funding_lq,Social Sciences,2007_2008,Wales,3.758488823640593
285,cyber_security,funding_lq,Mathematics and Computing,2007_2008,Wales,0.3293977012678479
286,data_methods,funding_lq,Medical Science,2007_2008,Wales,0.0
287,design_&_heritage,funding_lq,Arts and Humanities,2007_2008,Wales,0.8249767301503332
288,development_studies,funding_lq,Social Sciences,2007_2008,Wales,0.0
289,disease_infection_health,funding_lq,Medical Science,2007_2008,Wales,0.0
290,drug_tests,funding_lq,Medical Science,2007_2008,Wales,0.49502922088944973
291,economics,funding_lq,Social Sciences,2007_2008,Wales,0.2781445595301566
292,ecosystems,funding_lq,Environmental Sciences,2007_2008,Wales,0.6712079283178959
293,education,funding_lq,Social Sciences,2007_2008,Wales,0.79768327621443
294,electronics_transistors,funding_lq,Engineering and Technology,2007_2008,Wales,0.19927343515963022
295,energy_environmental,funding_lq,Engineering and Technology,2007_2008,Wales,0.8567246671473809
296,energy_transport_technology,funding_lq,Engineering and Technology,2007_2008,Wales,1.0492383340925122
297,environment,funding_lq,Social Sciences,2007_2008,Wales,0.8097787475526084
298,environmental_policy,funding_lq,Environmental Sciences,2007_2008,Wales,0.5862450430340541
299,epidemiology_immunology,funding_lq,Life Sciences,2007_2008,Wales,0.4381320737486546
300,evidence_for_policy,funding_lq,Social Sciences,2007_2008,Wales,4.898760337955836
301,experiments,funding_lq,Medical Science,2007_2008,Wales,0.0
302,gender_sexuality,funding_lq,Social Sciences,2007_2008,Wales,0.0
303,genetics,funding_lq,Medical Science,2007_2008,Wales,0.0
304,geology,funding_lq,Environmental Sciences,2007_2008,Wales,0.8289127088525157
305,health_interventions_policy,funding_lq,Medical Science,2007_2008,Wales,0.3599292295411345
306,health_social_issues,funding_lq,Arts and Humanities,2007_2008,Wales,4.778009980841339
307,hidrology,funding_lq,Environmental Sciences,2007_2008,Wales,0.0
308,imaging,funding_lq,Life Sciences,2007_2008,Wales,0.37388894568167746
309,industrial_application,funding_lq,Life Sciences,2007_2008,Wales,0.5606167789550308
310,ionisation_plasma,funding_lq,Engineering and Technology,2007_2008,Wales,0.5558194209061597
311,law,funding_lq,Social Sciences,2007_2008,Wales,0.18674163737828192
312,linguistics,funding_lq,Arts and Humanities,2007_2008,Wales,0.19790367050715754
313,literature,funding_lq,Arts and Humanities,2007_2008,Wales,0.0
314,management,funding_lq,Social Sciences,2007_2008,Wales,0.7127683697402111
315,materials,funding_lq,Engineering and Technology,2007_2008,Wales,0.38740218691580325
316,mathematics,funding_lq,Mathematics and Computing,2007_2008,Wales,0.16283467922487824
317,media_performance,funding_lq,Arts and Humanities,2007_2008,Wales,1.0539069742667697
318,medieval_modern_history,funding_lq,Arts and Humanities,2007_2008,Wales,1.9514046308916169
319,migration_colonial_history,funding_lq,Arts and Humanities,2007_2008,Wales,2.8711059948573596
320,military_history,funding_lq,Arts and Humanities,2007_2008,Wales,0.28264211092499425
321,minerals_fuels,funding_lq,Environmental Sciences,2007_2008,Wales,0.0
322,modelling_&_sensors,funding_lq,Environmental Sciences,2007_2008,Wales,1.485457032019695
323,modelling_measurement,funding_lq,Mathematics and Computing,2007_2008,Wales,0.6964303662383775
324,networks,funding_lq,Mathematics and Computing,2007_2008,Wales,0.2032205304148539
325,neurology,funding_lq,Medical Science,2007_2008,Wales,0.5658114464192716
326,neuroscience,funding_lq,Life Sciences,2007_2008,Wales,1.0206916864903555
327,nutrition_health,funding_lq,Life Sciences,2007_2008,Wales,0.0
328,obesity_metabolism,funding_lq,Medical Science,2007_2008,Wales,0.0
329,particle_physics,funding_lq,Physics,2007_2008,Wales,0.0
330,philosophy,funding_lq,Arts and Humanities,2007_2008,Wales,0.0
331,photonics_imaging_quantum,funding_lq,Engineering and Technology,2007_2008,Wales,0.6037033579559175
332,political_history,funding_lq,Arts and Humanities,2007_2008,Wales,0.0
333,prosthetics_robotics_health,funding_lq,Engineering and Technology,2007_2008,Wales,0.45197750584287616
334,psychiatry_mental_health,funding_lq,Medical Science,2007_2008,Wales,1.861710437773296
335,psychology,funding_lq,Social Sciences,2007_2008,Wales,4.297116960874891
336,public_engagement_infrastructure,funding_lq,Physics,2007_2008,Wales,0.13963888805587674
337,reproduction_fertility,funding_lq,Medical Science,2007_2008,Wales,0.17120497751002337
338,respiratory_system,funding_lq,Medical Science,2007_2008,Wales,0.0
339,robotics_cybernetics,funding_lq,Mathematics and Computing,2007_2008,Wales,0.026802070652508975
340,security,funding_lq,Engineering and Technology,2007_2008,Wales,0.0
341,sensors_data_telescopy,funding_lq,Physics,2007_2008,Wales,9.151642432114002
342,social_care,funding_lq,Social Sciences,2007_2008,Wales,0.32906623698252574
343,social_history,funding_lq,Arts and Humanities,2007_2008,Wales,2.6098496389704384
344,social_history_identity,funding_lq,Arts and Humanities,2007_2008,Wales,0.0
345,sociology,funding_lq,Social Sciences,2007_2008,Wales,0.9510750819990927
346,statistics_data_analysis,funding_lq,Mathematics and Computing,2007_2008,Wales,0.0
347,surgert_cardiology,funding_lq,Medical Science,2007_2008,Wales,0.0
348,systems_infrastructure,funding_lq,Engineering and Technology,2007_2008,Wales,1.25030205288952
349,theoretical_physics,funding_lq,Physics,2007_2008,Wales,2.625568702684769
350,transport_communications,funding_lq,Mathematics and Computing,2007_2008,Wales,0.8256352840199934
351,visual,funding_lq,Arts and Humanities,2007_2008,Wales,0.0
352,ageing,count_total,Medical Science,2009_2010,Wales,10.0
353,agriculture_plant_biology_entomology,count_total,Life Sciences,2009_2010,Wales,6.0
354,applications_devices_users,count_total,Mathematics and Computing,2009_2010,Wales,5.0
355,archaeology,count_total,Arts and Humanities,2009_2010,Wales,0.0
356,architecture_spatial,count_total,Arts and Humanities,2009_2010,Wales,0.0
357,astronomy,count_total,Physics,2009_2010,Wales,0.0
358,astrophysics,count_total,Physics,2009_2010,Wales,2.0
359,bio_informatics,count_total,Life Sciences,2009_2010,Wales,0.0
360,biopharmaceuticals,count_total,Life Sciences,2009_2010,Wales,0.0
361,bones_muscles,count_total,Life Sciences,2009_2010,Wales,1.0
362,carbon_greenhouse_pollution,count_total,Environmental Sciences,2009_2010,Wales,6.0
363,cells_cancer,count_total,Medical Science,2009_2010,Wales,5.0
364,cellular_biology_cancer,count_total,Life Sciences,2009_2010,Wales,11.0
365,chemistry_biochemistry,count_total,Engineering and Technology,2009_2010,Wales,10.0
366,classic_religious_history,count_total,Arts and Humanities,2009_2010,Wales,0.0
367,climate_science,count_total,Environmental Sciences,2009_2010,Wales,27.0
368,cognition_&_audio,count_total,Mathematics and Computing,2009_2010,Wales,0.0
369,computer_science,count_total,Mathematics and Computing,2009_2010,Wales,1.0
370,computer_vision,count_total,Mathematics and Computing,2009_2010,Wales,2.0
371,cosmology,count_total,Physics,2009_2010,Wales,3.0
372,criminology_violence,count_total,Social Sciences,2009_2010,Wales,0.0
